id,name,brand,category,description,price,stock_quantity,location_info,coordinates_3d
PRD-1C8F8A71,เลย์ รสมันฝรั่งแท้,Lay's,อาหาร/ขนม,หิวตอนบ่าย อยากเคี้ยวอะไรเพลินๆ แก้เบื่อ,40.88,28,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""3"", ""shelf_level"": ""2""}","{""x"": 6.0, ""y"": 1.3, ""z"": 3.0}"
PRD-105B9C4D,เลย์ รสมันฝรั่งแท้ ขนาดเล็ก,Lay's,อาหาร/ขนม,หิวตอนบ่าย อยากเคี้ยวอะไรเพลินๆ แก้เบื่อ,23.83,33,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""3"", ""shelf_level"": ""1""}","{""x"": 6.0, ""y"": 0.5, ""z"": 3.0}"
PRD-B23BAEA3,เลย์ รสมันฝรั่งแท้ รสชาติใหม่,Lay's,อาหาร/ขนม,หิวตอนบ่าย อยากเคี้ยวอะไรเพลินๆ แก้เบื่อ,32.48,0,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""4"", ""shelf_level"": ""3""}","{""x"": 16.5, ""y"": 2.1, ""z"": 3.0}"
PRD-AD2E7FA3,ทาโร่ รสเข้มข้น,Taro,อาหาร/ขนม,อยากกินขนมแบบไม่อ้วน เคี้ยวเพลินแก้เหงาปาก,36.28,3,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""4"", ""shelf_level"": ""1""}","{""x"": 16.5, ""y"": 0.5, ""z"": 3.0}"
PRD-535BFFC8,ทาโร่ รสเข้มข้น แพ็คคู่,Taro,อาหาร/ขนม,อยากกินขนมแบบไม่อ้วน เคี้ยวเพลินแก้เหงาปาก,33.99,33,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""5"", ""shelf_level"": ""1""}","{""x"": 14.0, ""y"": 0.5, ""z"": 3.0}"
PRD-3CD8CD27,ทาโร่ รสเข้มข้น รสชาติใหม่,Taro,อาหาร/ขนม,อยากกินขนมแบบไม่อ้วน เคี้ยวเพลินแก้เหงาปาก,24.96,21,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""2"", ""shelf_level"": ""2""}","{""x"": 3.5, ""y"": 1.3, ""z"": 3.0}"
PRD-0D3BF2FC,ป๊อกกี้ รสช็อกโกแลต,Glico,อาหาร/ขนม,ต้องการความหวานนิดๆ อารมณ์ดีขึ้นทันที,29.93,42,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""6"", ""shelf_level"": ""1""}","{""x"": 11.5, ""y"": 0.5, ""z"": 3.0}"
PRD-D37B97DE,ป๊อกกี้ รสช็อกโกแลต รสชาติใหม่,Glico,อาหาร/ขนม,ต้องการความหวานนิดๆ อารมณ์ดีขึ้นทันที,28.44,17,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""6"", ""shelf_level"": ""1""}","{""x"": 11.5, ""y"": 0.5, ""z"": 3.0}"
PRD-6E01AD40,ป๊อกกี้ รสช็อกโกแลต รสชาติใหม่,Glico,อาหาร/ขนม,ต้องการความหวานนิดๆ อารมณ์ดีขึ้นทันที,26.73,8,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""5"", ""shelf_level"": ""3""}","{""x"": 14.0, ""y"": 2.1, ""z"": 3.0}"
PRD-2C7BB894,ฮานามิ ข้าวเกรียบกุ้ง,Hanami,อาหาร/ขนม,คิดถึงรสชาติวัยเด็ก กรอบอร่อยเคี้ยวเพลิน,26.87,23,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""5"", ""shelf_level"": ""3""}","{""x"": 14.0, ""y"": 2.1, ""z"": 3.0}"
PRD-F9045D28,ฮานามิ ข้าวเกรียบกุ้ง แพ็คคู่,Hanami,อาหาร/ขนม,คิดถึงรสชาติวัยเด็ก กรอบอร่อยเคี้ยวเพลิน,28.76,29,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""2"", ""shelf_level"": ""3""}","{""x"": 3.5, ""y"": 2.1, ""z"": 3.0}"
PRD-F3D29E25,ฮานามิ ข้าวเกรียบกุ้ง ขนาดเล็ก,Hanami,อาหาร/ขนม,คิดถึงรสชาติวัยเด็ก กรอบอร่อยเคี้ยวเพลิน,12.54,10,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""4"", ""shelf_level"": ""1""}","{""x"": 16.5, ""y"": 0.5, ""z"": 3.0}"
PRD-45F89386,สแน็คแจ๊ค,Snack Jack,อาหาร/ขนม,หิวระหว่างทำงาน อยากได้ถั่วลันเตากรอบๆ,22.78,33,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""2"", ""shelf_level"": ""3""}","{""x"": 3.5, ""y"": 2.1, ""z"": 3.0}"
PRD-268473EC,สแน็คแจ๊ค แพ็คคู่,Snack Jack,อาหาร/ขนม,หิวระหว่างทำงาน อยากได้ถั่วลันเตากรอบๆ,33.19,33,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""1"", ""shelf_level"": ""2""}","{""x"": 1.0, ""y"": 1.3, ""z"": 3.0}"
PRD-EACC6C44,สแน็คแจ๊ค แพ็คคู่,Snack Jack,อาหาร/ขนม,หิวระหว่างทำงาน อยากได้ถั่วลันเตากรอบๆ,36.51,29,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""1"", ""shelf_level"": ""1""}","{""x"": 1.0, ""y"": 0.5, ""z"": 3.0}"
PRD-313C3FA5,สแน็คแจ๊ค ขนาดใหญ่,Snack Jack,อาหาร/ขนม,หิวระหว่างทำงาน อยากได้ถั่วลันเตากรอบๆ,37.95,12,"{""zone"": ""A"", ""section"": ""1"", ""shelf"": ""1"", ""shelf_level"": ""3""}","{""x"": 1.0, ""y"": 2.1, ""z"": 3.0}"
PRD-30ADC914,โค้ก ออริจินัล,Coca-Cola,อาหาร/เครื่องดื่ม,อากาศร้อนๆ กระหายน้ำ คอแห้ง อยากได้ความสดชื่นซ่าๆ,21.82,14,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""1"", ""shelf_level"": ""3""}","{""x"": 1.0, ""y"": 2.1, ""z"": 6.0}"
PRD-F8D1FABF,โค้ก ออริจินัล รสชาติใหม่,Coca-Cola,อาหาร/เครื่องดื่ม,อากาศร้อนๆ กระหายน้ำ คอแห้ง อยากได้ความสดชื่นซ่าๆ,21.87,27,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""1"", ""shelf_level"": ""3""}","{""x"": 1.0, ""y"": 2.1, ""z"": 6.0}"
PRD-296A77EF,โค้ก ออริจินัล รสชาติใหม่,Coca-Cola,อาหาร/เครื่องดื่ม,อากาศร้อนๆ กระหายน้ำ คอแห้ง อยากได้ความสดชื่นซ่าๆ,13.89,31,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""2"", ""shelf_level"": ""3""}","{""x"": 3.5, ""y"": 2.1, ""z"": 6.0}"
PRD-E88156BE,โค้ก ออริจินัล ขนาดเล็ก,Coca-Cola,อาหาร/เครื่องดื่ม,อากาศร้อนๆ กระหายน้ำ คอแห้ง อยากได้ความสดชื่นซ่าๆ,13.43,45,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""2"", ""shelf_level"": ""3""}","{""x"": 3.5, ""y"": 2.1, ""z"": 6.0}"
PRD-19E39CD2,โค้ก ออริจินัล ขนาดเล็ก,Coca-Cola,อาหาร/เครื่องดื่ม,อากาศร้อนๆ กระหายน้ำ คอแห้ง อยากได้ความสดชื่นซ่าๆ,13.3,44,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""6"", ""shelf_level"": ""2""}","{""x"": 11.5, ""y"": 1.3, ""z"": 6.0}"
PRD-0FBA4A62,น้ำดื่มคริสตัล,Crystal,อาหาร/เครื่องดื่ม,หิวน้ำ ดับกระหาย คืนความสดชื่นให้ร่างกาย,11.57,17,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""2"", ""shelf_level"": ""3""}","{""x"": 3.5, ""y"": 2.1, ""z"": 6.0}"
PRD-E8EEFC29,น้ำดื่มคริสตัล ขนาดเล็ก,Crystal,อาหาร/เครื่องดื่ม,หิวน้ำ ดับกระหาย คืนความสดชื่นให้ร่างกาย,7.12,45,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""6"", ""shelf_level"": ""3""}","{""x"": 11.5, ""y"": 2.1, ""z"": 6.0}"
